,start_time,model,checkpoint,attack,norm,epsilon,targeted,target,loss,end_time,duration,dataset,epe,px1,px3,px5,outlier,own_epe,epe_orig_preds,own_epe_orig_preds,cosim_target,cosim_orig_preds,epe_ground_truth,own_epe_ground_truth,cosim_ground_truth,l2_delta1,l2_delta2,l2_delta12,l0_delta1,l0_delta2,l0_delta12,l_inf_delta1,l_inf_delta2,l_inf_delta12,cosim,iterations,alpha,epe_initial_to_negative,epe_initial_to_zero,own_epe_ground_truth_to_negative,own_epe_ground_truth_to_zero,epe_ground_truth_to_negative,epe_ground_truth_to_zero,optim,boxconstraint,conf_f1,val,name,severity
632,2024-05-15 00:20:57,rpknet,kitti,cospgd,inf,0.03,True,negative,epe,2024-05-15 00:25:44,00:04:47,kitti-2015,71.36996313214303,0.10081872955541257,0.1310958987225604,0.1603547945266473,86.88980918407441,,3.7669256622716785,,-0.8977351656928658,0.8977351656928658,3.367804957181215,,0.1787512058066204,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
634,2024-05-15 00:20:58,rpknet,kitti,cospgd,inf,0.03,True,zero,epe,2024-05-15 00:26:07,00:05:09,kitti-2015,34.99081669092178,0.12500883911121036,0.1869845843805888,0.2402521403110586,81.30154163599015,,3.6151959151029587,,0.0,0.9007722523063422,3.1484665878117086,,0.18004423825535923,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
635,2024-05-15 00:20:57,rpknet,kitti,pgd,inf,0.03,True,zero,epe,2024-05-15 00:26:09,00:05:12,kitti-2015,35.04227607011795,0.12695966579779905,0.18684057566970297,0.23905847248592182,81.31594221591949,,3.6642147659510376,,0.0,0.8866643128078431,3.3088492232561113,,0.17986698331777007,,,,,,,,,,,3.0,0.01,,,,,,,ground_truth,,,,,
637,2024-05-15 00:29:02,rpknet,kitti,bim,two,0.01,True,zero,epe,2024-05-15 00:33:48,00:04:45,kitti-2015,36.73013944029808,0.11498703859756461,0.17000481269597004,0.22093321230087895,82.99951872348785,,0.004972569429301074,,0.0,0.99999068826437,0.945907674562186,,0.18263272223062813,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
639,2024-05-15 00:29:02,rpknet,kitti,bim,two,0.01,True,negative,epe,2024-05-15 00:34:05,00:05:03,kitti-2015,73.46165249228477,0.10215647512286523,0.12872548342073514,0.15617329308586705,87.12745182991029,,0.004983291839016602,,-0.9999903678894043,0.9999903678894043,0.9459051622077823,,0.1826327880471945,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
640,2024-05-15 00:35:06,rpknet,kitti,pgd,two,0.01,True,negative,epe,2024-05-15 00:40:01,00:04:54,kitti-2015,73.4630585539341,0.10215500976053135,0.12872421716402185,0.15617008681902006,87.12757846832275,,8.217105506901135e-05,,-0.9999999660253525,0.9999999660253525,0.9459193086624146,,0.18263216939289123,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
641,2024-05-15 00:35:06,rpknet,kitti,pgd,two,0.01,True,zero,epe,2024-05-15 00:40:10,00:05:04,kitti-2015,36.73153107881546,0.11498428613757823,0.1699996285319503,0.22092484741297086,83.00003725528717,,8.077135283542703e-05,,0.0,0.9999999713897705,0.9459199104085565,,0.18263217261526735,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
643,2024-05-15 00:43:10,rpknet,kitti,cospgd,two,0.01,True,zero,epe,2024-05-15 00:47:59,00:04:49,kitti-2015,36.73153007209301,0.11498434286909287,0.16999970370830852,0.22092525052663403,83.00002970218658,,8.266170863407751e-05,,0.0,0.9999999770522118,0.9459201524220407,,0.18263217127416284,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
645,2024-05-15 00:43:09,rpknet,kitti,cospgd,two,0.01,True,negative,epe,2024-05-15 00:48:12,00:05:03,kitti-2015,73.46306149601936,0.1021548892473902,0.12872419488143805,0.15617017691516594,87.12758069992066,,8.222365333040216e-05,,-0.9999999734759331,0.9999999734759331,0.9459196797385812,,0.18263217606116086,,,,,,,,,,,3.0,0.0,,,,,,,ground_truth,,,,,
646,2024-05-15 00:49:13,rpknet,kitti,bim,inf,0.0,True,zero,epe,2024-05-15 01:01:28,00:12:14,kitti-2015,36.08978375256061,0.11815171507830201,0.17398413156979586,0.22543198639177717,82.60158700466155,,1.1567678358778357,,0.0,0.9638474291563034,1.3565419847518205,,0.18221685345750302,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
648,2024-05-15 00:51:13,rpknet,kitti,pgd,inf,0.0,True,negative,epe,2024-05-15 01:04:08,00:12:55,kitti-2015,73.07429033517838,0.10231356004914688,0.12942477624088497,0.15690632438796456,87.05751472473145,,0.9180470983311534,,-0.960870915800333,0.960870915800333,1.1707344660162926,,0.18226620541419833,,,,,,,,,,,10.0,0.01,,,,,,,ground_truth,,,,,
